name,school,city,state,ranking
Jacob Eason,Lake Stevens,Lake Stevens,WA,0.9975
Feleipe Franks,Wakulla,Crawfordville,FL,0.9732
Jake Bentley,Opelika,Opelika,AL,0.9068
Tavien Feaster,Spartanburg,Spartanburg,SC,0.9816
Demario McCall,North Ridgeville,North Ridgeville,OH,0.9767
D'Vaughn Pennamon,Manvel,Manvel,TX,0.9091
Kam Martin,Memorial,Port Arthur,TX,0.904
McArthur Burnett,Pahokee,Pahokee,FL,0.8709
Jalin Buie,Trinity Christian Academy,Jacksonville,FL,0.8615
B.J. Emmons,Freedom,Morganton,NC,0.9805
Devwah Whaley,Beaumont Central,Beaumont,TX,0.9535
Elijah Holyfield,Woodward Academy,Atlanta,GA,0.9297
Antonio Williams,North Stanly,New London,NC,0.9286
Amir Rasul,Coral Gables Senior,Miami,FL,0.9158
Carlin Fils-aime,Naples,Naples,FL,0.9028
Abdul Adams,Hillside,Durham,NC,0.8912
JaQua Daniels,Clarke Central,Athens,GA,0.859
Brian Herrien,New Manchester,Douglasville,GA,0.8489
Demetris Robertson,Savannah Christian Prep,Savannah,GA,0.9905
Tyler Vaughns,Bishop Amat,La Puente,CA,0.9816
Tyrie Cleveland,Westfield,Houston,TX,0.981
Nate Craig-Myers,Tampa Catholic,Tampa,FL,0.9767
Kyle Davis,Archer,Lawrenceville,GA,0.9641
Binjimen Victor,Coconut Creek,Pompano Beach,FL,0.9546
Donnie Corley,Martin Luther King,Detroit,MI,0.9504
Keith Gavin,Wakulla,Crawfordville,FL,0.947
Eli Stove,Niceville,Niceville,FL,0.9431
Freddie Swain,North Marion,Citra,FL,0.9423
Quartney Davis,Langham Creek,Houston,TX,0.9422
Charlie Woerner,Rabun County,Tiger,GA,0.9386
Ahmmon Richards,Wellington,West Palm Beach,FL,0.9342
Josh Imatorbhebhe,North Gwinnett,Suwanee,GA,0.9314
Joshua Hammond,Hallandale,Hallandale,FL,0.9294
Tre Nixon,Viera,Melbourne,FL,0.9256
Klyde Chriss,Warren Easton,New Orleans,LA,0.9228
Bryan Edwards,Conway,Conway,SC,0.9169
T.J. Chase,Plant City,Plant City,FL,0.9158
Mykel Jones,Patterson,Patterson,LA,0.9131
Riley Ridley,Deerfield Beach,Deerfield Beach,FL,0.9089
Dionte Mullins,Gulliver Prep,Miami,FL,0.9076
Steven Smothers,Franklin,Reisterstown,MD,0.9074
Derrick Willies,Trinity Valley C.C.,Athens,TX,0.9041
Javon Wims,Hinds C.C.,Raymond,MS,0.9025
Darnell Salomon,Miami Central,Miami,FL,0.9005
Eddie McDoom,West Orange,Winter Garden,FL,0.8825
Keyshawn Pie Young,Miami Senior,Miami,FL,0.8825
Tyler Simmons,McEachern,Powder Springs,GA,0.8822
Randrecous Davis,Mays,Atlanta,GA,0.878
Darion Anderson,Houston County,Warner Robins,GA,0.8751
Velus Jones Jr.,Saraland,Saraland,AL,0.8727
Grant Holloway,Grassfield,Chesapeake,VA,0.8727
Brandon Johnson,American Heritage,Fort Lauderdale,FL,0.8691
Parnell Motley,Woodson H.D.,Washington,DC,0.8609
Davion Curtis,Temple,Temple,TX,0.8524
Jair Hawkins-Anderson,Northview,Duluth,GA,0.8489
Isaac Nauta,IMG Academy,Bradenton,FL,0.9904
Kaden Smith,Marcus,Flower Mound,TX,0.9801
Jake Hausmann,Archbishop Moeller,Cincinnati,OH,0.9439
Landon Rice,Calhoun,Calhoun,GA,0.9158
Cary Angeline,Downingtown East ,Exton,PA,0.9064
Jacob Mathis,Berkeley Prep,Tampa,FL,0.8953
Nick Eubanks,American Heritage,Fort Lauderdale,FL,0.8893
Thaddeus Moss,Mallard Creek,Charlotte,NC,0.8804
Garrett Walston,New Hanover,Wilmington,NC,0.8741
Michael Irvin II,St. Thomas Aquinas,Fort Lauderdale,FL,0.8599
Greg Little,Allen,Allen,TX,0.9991
Jonah Williams,Folsom,Folsom,CA,0.9877
