name,school,city,state,ranking
Spencer Rattler,Pinnacle,Phoenix,AZ,0.9942
Graham Mertz,Blue Valley North,Leawood,KS,0.9689
Taulia Tagovailoa,Thompson,Alabaster,AL,0.9269
Cade McNamara,Damonte Ranch,Reno,NV,0.9052
Jacob Conover,Chandler,Chandler,AZ,0.9005
Paul Tyson,Hewitt-Trussville,Trussville,AL,0.8972
Grant Gunnell,St Pius X,Houston,TX,0.8851
Ty Evans,Palmer Ridge,Monument,CO,0.883
Cornelious Brown,Calera,Calera,AL,0.8366
Bo Nix,Pinson Valley,Pinson,AL,0.9857
Jayden Daniels,Cajon,San Bernardino,CA,0.9832
Sam Howell,Sun Valley,Monroe,NC,0.9582
Garrett Shrader,Charlotte Christian,Charlotte,NC,0.9106
Lance LeGendre,Warren Easton,New Orleans,LA,0.9036
Jalon Jones,Henrico,Richmond,VA,0.9001
John Rhys Plumlee,Oak Grove,Hattiesburg,MS,0.8936
Michael Johnson Jr.,Sheldon,Eugene,OR,0.8905
Wan'Dale Robinson,Western Hills,Frankfort,KY,0.9597
Eric Gray,Lausanne Collegiate School,Memphis,TN,0.9244
Ronald Thompkins,Grayson,Loganville,GA,0.8817
Trey Sanders,IMG Academy,Bradenton,FL,0.9963
John Emery Jr.,Destrehan,Destrehan,LA,0.9929
Jerrion Ealy,Jackson Prep,Flowood,MS,0.987
Tyrion Davis-Price,Southern Lab,Baton Rouge,LA,0.9399
Isaiah Spiller,Klein Collins,Spring,TX,0.9351
Kenny McIntosh,University School,Fort Lauderdale,FL,0.9233
Derrian Brown,Buford,Buford,GA,0.9139
Deondrick Glass,Katy,Katy,TX,0.9133
Keilan Robinson,St. John's,Washington,DC,0.9094
Nay'Quan Wright,Miami Carol City,Opa Locka,FL,0.9061
Marcus Major,Millwood,Oklahoma City,OK,0.9024
Kenan Christon,Madison,San Diego,CA,0.8884
Mike Hollins,University Lab,Baton Rouge,LA,0.8626
Joachim Bangda,St. Frances Academy,Baltimore,MD,0.8533
Garrett Wilson,Lake Travis,Austin,TX,0.9903
Theo Wease,Allen,Allen,TX,0.9903
George Pickens,Hoover,Hoover,AL,0.988
Dominick Blaylock,Walton,Marietta,GA,0.9831
Frank Ladson,South Dade,Homestead,FL,0.98
Jake Smith,Notre Dame Preparatory,Scottsdale,AZ,0.9752
Joe Ngata,Folsom,Folsom,CA,0.9733
Jeremiah Payton,Duncan U. Fletcher,Neptune Beach,FL,0.973
Trejan Bridges,Hebron,Carrollton,TX,0.9687
Dylan Wright,West Mesquite,Mesquite,TX,0.9678
Jameson Williams,Cardinal Ritter College Prep,Saint Louis,MO,0.9621
Mycah Pittman,Calabasas,Calabasas,CA,0.9578
Ramel Keyton,Marietta,Marietta,GA,0.9503
Trey Palmer,Kentwood,Kentwood,LA,0.9499
Arjei Henderson,Fort Bend Travis,Richmond,TX,0.9395
Marcus Washington,Trinity Catholic,Saint Louis,MO,0.9384
Cornelius Johnson,Brunswick School,Greenwich,CT,0.9294
Kam Brown,Colleyville Heritage,Colleyville,TX,0.9182
Milton Wright,Christian Academy Of Louisville,Louisville,KY,0.918
Khafre Brown,West Mecklenburg,Charlotte,NC,0.9161
Isaiah Hazel,Dr. Henry Wise,Upper Marlboro,MD,0.9134
John Metchie,The Peddie School,Hightstown,NJ,0.9043
Jacoby Pinckney,Dorman,Roebuck,SC,0.891
Demariyon Houston,Millwood,Oklahoma City,OK,0.8884
Nnamdi Adim-Madumere,Southwest,Fort Worth,TX,0.871
Ahmarean Brown,Jefferson,Tampa,FL,0.8709
Baylor Cupp,Brock,Brock,TX,0.9731
Keon Zipperer,Lakeland,Lakeland,FL,0.9543
Austin Stogner,Prestonwood Christian,Plano,TX,0.9467
Hudson Henry,Pulaski Academy,Little Rock,AR,0.9423
Brayden Liebrock,Chandler,Chandler,AZ,0.9307
Ryland Goede,Kennesaw Mountain,Acworth,GA,0.9112
Jude Wolfe,St. John Bosco,Bellflower,CA,0.9106
Jahleel Billingsley,Phillips Academy,Chicago,IL,0.8998
Jackson Lowe,Cartersville,Cartersville,GA,0.8947
Jalen Wydermyer,Dickinson,Dickinson,TX,0.8925
Michael Martinez,Mater Dei,Santa Ana,CA,0.8883
Ethan Rae,Orange Lutheran,Orange,CA,0.8837
Cormontae Hamilton,Whitehaven,Memphis,TN,0.8754
Garmon Randolph,Jefferson,Jefferson,GA,0.8676
Luke Deal,Emerald,Greenwood,SC,0.8676
Brett Seither,Clearwater Central Catholic,Clearwater,FL,0.8673
Kyle Patterson,Perry,Gilbert,AZ,0.8315
Evan Neal,IMG Academy,Bradenton,FL,0.9946
Darnell Wright,Huntington,Huntington,WV,0.9944
Kenyon Green,Atascocita,Humble,TX,0.9926
Logan Brown,East Kentwood,Grand Rapids,MI,0.9915
Wanya Morris,Grayson,Loganville,GA,0.9871
Pierce Quick,Hewitt-Trussville,Trussville,AL,0.9789
Tyler Johnson,Oak Ridge,Conroe,TX,0.9722
Amari Kight,Thompson,Alabaster,AL,0.9648
Quinn Carroll,Edina,Minneapolis,MN,0.9472
Stacey Wilkins,Camden Fairview,Camden,AR,0.9298
Trevor Keegan,Crystal Lake South,Crystal Lake,IL,0.9288
Xavier Truss,Bishop Hendricken,Warwick,RI,0.9158
Warren McClendon,Brunswick,Brunswick,GA,0.9131
Malaesala Aumavae-Laulu,Navarro College,Corsicana,TX,0.9128
Javonne Shepherd,North Forest,Houston,TX,0.8958
Luke Griffin,North Murray,Chatsworth,GA,0.8742
Danielson Ike,Rockhurst,Kansas City,MO,0.8742
Howard Allen Jr.,Baldwin,Jacksonville,FL,0.8742
Adrian Medley,Pensacola,Pensacola,FL,0.8654
Ira Henry III,Trinity Catholic,Saint Louis,MO,0.858
Devontae Dobbs,Belleville,Belleville,MI,0.9747
Sean Rhyan,San Juan Hills,San Juan Capistrano,CA,0.9671
Kardell Thomas,Southern Lab,Baton Rouge,LA,0.9572
Doug Nester,Spring Valley,Huntington,WV,0.9519
Keiondre Jones,Callaway,Hogansville,GA,0.9385
