name,school,city,state,ranking
Ryan Hilinski,Orange Lutheran,Orange,CA,0.9695
Cade McNamara,Damonte Ranch,Reno,NV,0.9052
Paul Tyson,Hewitt-Trussville,Trussville,AL,0.8972
Kedon Slovis,Desert Mountain,Scottsdale,AZ,0.8683
Dillon Gabriel,Mililani,Mililani,HI,0.8667
Jayden Daniels,Cajon,San Bernardino,CA,0.9832
Maverick McIvor,Central,San Angelo,TX,0.8642
Sean Dollars,Mater Dei,Santa Ana,CA,0.9387
Jordan Wilmore,Lawndale,Lawndale,CA,0.8919
Ronald Thompkins,Grayson,Loganville,GA,0.8817
John Emery Jr.,Destrehan,Destrehan,LA,0.9929
Jerrion Ealy,Jackson Prep,Flowood,MS,0.987
Zach Charbonnet,Oaks Christian,Westlake Village,CA,0.976
Devyn Ford,North Stafford,Stafford,VA,0.9643
Tyrion Davis-Price,Southern Lab,Baton Rouge,LA,0.9399
Deondrick Glass,Katy,Katy,TX,0.9133
Chez Mellusi,Naples,Naples,FL,0.9105
Keilan Robinson,St. John's,Washington,DC,0.9094
Marcus Major,Millwood,Oklahoma City,OK,0.9024
Cameron Davis,Upland,Upland,CA,0.9016
Kenan Christon,Madison,San Diego,CA,0.8884
Darwin Barlow,Newton,Newton,TX,0.8862
Julius Davis,Menomonee Falls,Menomonee Falls,WI,0.8776
Travis Tisdale,Lowndes,Valdosta,GA,0.8763
Rhamondre Stevenson,Cerritos College,Norwalk,CA,0.8757
Rhamondre Stevenson,Cerritos College,Norwalk,CA,0.8757
John Bivens,Archbishop Alter,Dayton,OH,0.875
Glover Cook,Vanguard,Ocala,FL,0.8675
Micah Bernard,Gahr,Cerritos,CA,0.8607
Garrett Wilson,Lake Travis,Austin,TX,0.9903
Theo Wease,Allen,Allen,TX,0.9903
Kyle Ford,Orange Lutheran,Orange,CA,0.9812
Jake Smith,Notre Dame Preparatory,Scottsdale,AZ,0.9752
Joe Ngata,Folsom,Folsom,CA,0.9733
Dylan Wright,West Mesquite,Mesquite,TX,0.9678
Jameson Williams,Cardinal Ritter College Prep,Saint Louis,MO,0.9621
Elijah Higgins,Bowie,Austin,TX,0.9601
Mycah Pittman,Calabasas,Calabasas,CA,0.9578
Puka Nacua,Orem,Orem,UT,0.9404
Arjei Henderson,Fort Bend Travis,Richmond,TX,0.9395
Marcus Washington,Trinity Catholic,Saint Louis,MO,0.9384
Josh Delgado,IMG Academy,Bradenton,FL,0.9182
Khafre Brown,West Mecklenburg,Charlotte,NC,0.9161
Drake London,Moorpark,Moorpark,CA,0.9087
Giles Jackson,Freedom,Oakley,CA,0.9004
Maurice Goolsby,Dunnellon,Dunnellon,FL,0.885
Braedin Huffman-Dixon,Mater Dei,Santa Ana,CA,0.8784
Munir McClain,J Serra Catholic,San Juan Capistrano,CA,0.8763
Manuel Allen,Rancho Verde,Moreno Valley,CA,0.8717
Baylor Cupp,Brock,Brock,TX,0.9731
Hudson Henry,Pulaski Academy,Little Rock,AR,0.9423
Brayden Liebrock,Chandler,Chandler,AZ,0.9307
Jude Wolfe,St. John Bosco,Bellflower,CA,0.9106
Jackson Lowe,Cartersville,Cartersville,GA,0.8947
Michael Martinez,Mater Dei,Santa Ana,CA,0.8883
Tyler Fromm,Warner Robins,Warner Robins,GA,0.8882
Ethan Rae,Orange Lutheran,Orange,CA,0.8837
Luke Deal,Emerald,Greenwood,SC,0.8676
Evan Neal,IMG Academy,Bradenton,FL,0.9946
Darnell Wright,Huntington,Huntington,WV,0.9944
Charles Cross,Laurel,Laurel,MS,0.9877
Tyler Johnson,Oak Ridge,Conroe,TX,0.9722
Jonah Tauanu'u,Narbonne,Harbor City,CA,0.9695
Quinn Carroll,Edina,Minneapolis,MN,0.9472
Stacey Wilkins,Camden Fairview,Camden,AR,0.9298
Trevor Keegan,Crystal Lake South,Crystal Lake,IL,0.9288
Xavier Truss,Bishop Hendricken,Warwick,RI,0.9158
Malaesala Aumavae-Laulu,Navarro College,Corsicana,TX,0.9128
Michael Tarquin,North Marion,Citra,FL,0.9041
Jason Rodriguez,Oak Hills,Hesperia,CA,0.9013
Javonne Shepherd,North Forest,Houston,TX,0.8958
Nate Kalepo,Rainier Beach,Seattle,WA,0.8937
Triston Miller,Charlotte Country Day,Charlotte,NC,0.8935
Corey Luciano,Diablo Valley College,Pleasant Hill,CA,0.8765
Trevor Roberson,Wellington,Wellington,TX,0.8709
Ron Carr,Solon,Solon,OH,0.8689
Brandon Yates,Liberty,Henderson,NV,0.8551
Dawand Jones,Ben Davis,Indianapolis,IN,0.8527
Hunter Hill,Orem,Orem,UT,0.8498
Jordan Morgan,Marana,Marana,AZ,0.8322
Devontae Dobbs,Belleville,Belleville,MI,0.9747
Sean Rhyan,San Juan Hills,San Juan Capistrano,CA,0.9671
Kardell Thomas,Southern Lab,Baton Rouge,LA,0.9572
William Putnam,Plant,Tampa,FL,0.9555
Enokk Vimahi,Kahuku,Kahuku,HI,0.9445
Karsen Barnhart,Paw Paw,Paw Paw,MI,0.9057
EJ Ndoma-Ogar,Allen,Allen,TX,0.9054
Sataoa Laumea,Eisenhower Senior,Rialto,CA,0.8971
Troy Fautanu,Liberty,Henderson,NV,0.8912
Jakai Moore,Patriot,Nokesville,VA,0.881
