name,school,city,state,ranking
Ryan Hilinski,Orange Lutheran,Orange,CA,0.9695
Cale Millen,Mount Si,Snoqualmie,WA,0.8863
Grant Gunnell,St Pius X,Houston,TX,0.8851
Chase Griffin,Hutto,Hutto,TX,0.8439
Jayden Daniels,Cajon,San Bernardino,CA,0.9832
Jordan Wilmore,Lawndale,Lawndale,CA,0.8919
Zach Charbonnet,Oaks Christian,Westlake Village,CA,0.976
Austin Jones,Bishop O'Dowd,Oakland,CA,0.9471
Kenan Christon,Madison,San Diego,CA,0.8884
Jahmon McClendon,Monte Vista,Spring Valley,CA,0.8444
Christian Grubb,Notre Dame,Sherman Oaks,CA,0.8255
Sitiveni Havili-Kaufusi,Punahou,Honolulu,HI,0.8366
Kyle Ford,Orange Lutheran,Orange,CA,0.9812
Joe Ngata,Folsom,Folsom,CA,0.9733
Jameson Williams,Cardinal Ritter College Prep,Saint Louis,MO,0.9621
Puka Nacua,Orem,Orem,UT,0.9404
Kam Brown,Colleyville Heritage,Colleyville,TX,0.9182
Drake London,Moorpark,Moorpark,CA,0.9087
Keon Markham,Long Beach Poly,Long Beach,CA,0.8884
Charles Njoku,Wayne Hills,Wayne,NJ,0.8862
Taj Davis,Upland,Upland,CA,0.8796
Khyheem Waleed,Casteel,QUEEN CREEK,AZ,0.8689
Trevon Clark,El Camino College,Torrance,CA,0.8636
Jaylen Erwin,Hutchinson C.C.,Hutchinson,KS,0.8316
Logan Gamble,Palomar College,San Marcos,CA,0.82
Jude Wolfe,St. John Bosco,Bellflower,CA,0.9106
Michael Martinez,Mater Dei,Santa Ana,CA,0.8883
Ethan Rae,Orange Lutheran,Orange,CA,0.8837
Henry Ikahihifo,Paraclete,Lancaster,CA,0.8416
Josh Harris,Grossmont College,El Cajon,CA,0.8356
Kyle Patterson,Perry,Gilbert,AZ,0.8315
Jason Rodriguez,Oak Hills,Hesperia,CA,0.9013
Nate Kalepo,Rainier Beach,Seattle,WA,0.8937
Barrett Miller,Eaglecrest,Aurora,CO,0.8768
Cole Birmingham,Katy,Katy,TX,0.8742
Sean Rhyan,San Juan Hills,San Juan Capistrano,CA,0.9671
Enokk Vimahi,Kahuku,Kahuku,HI,0.9445
Sataoa Laumea,Eisenhower Senior,Rialto,CA,0.8971
Troy Fautanu,Liberty,Henderson,NV,0.8912
Duke Clemens,Punahou,Honolulu,HI,0.8722
Beau Taylor,Bishop Gorman,Las Vegas,NV,0.8534
Josh Carlin,Sierra Canyon,Chatsworth,CA,0.8319
Brad Whitworth,Linfield Christian School,Temecula,CA,0.8299
Laiatu Latu,Jesuit,Carmichael,CA,0.9435
Jermaine Johnson,Independence C.C.,Independence,KS,0.9303
Isaiah Foskey,De La Salle,Concord,CA,0.9164
Steven Parker,South Oak Cliff,Dallas,TX,0.8937
Bralen Trice,Sandra Day O'Connor,Glendale,AZ,0.885
Aeneas DiCosmo,Bergen Catholic,Oradell,NJ,0.8817
Noah Keeter,F. W. Buchholz,Gainesville,FL,0.8288
Joshua Pakola,St. Francis,Mountain View,CA,0.9214
Nick Figueroa,Riverside C.C.,Riverside,CA,0.8818
Datona Jackson,College of the Desert,Palm Desert,CA,0.8582
Siaki Ika,East,Salt Lake City,UT,0.94
Siale Taupaki,Oakland,Oakland,CA,0.8586
Joseph Appiah Darkwa,Duesseldorf Panther - U 19 A,Germany,GERM,0.8559
Mase Funa,Mater Dei,Santa Ana,CA,0.9681
Maninoa Tufono,Punahou,Honolulu,HI,0.9203
Daniel Heimuli,Menlo-Atherton,Menlo Park,CA,0.9187
Josh Calvert,Oaks Christian,Westlake Village,CA,0.9144
Andre White Jr.,Harrisburg,Harrisburg,PA,0.899
Dru Mathis,Moorpark College,Moorpark,CA,0.8607
Drew Fowler,Bellevue,Bellevue,WA,0.8416
Eugene Asante,Westfield,Chantilly,VA,0.9031
Kuony Deng,Independence C.C.,Independence,KS,0.8925
Ralen Goforth,St. John Bosco,Bellflower,CA,0.8862
Orin Patu,Rainier Beach,Seattle,WA,0.8774
John Ward,Palmdale,Palmdale,CA,0.8755
Tuasivi Nomura,Centennial,Corona,CA,0.8667
Cade Albright,San Juan Hills,San Juan Capistrano,CA,0.8565
Peni Naulu,Kapolei,Kapolei,HI,0.8423
Hayden Harris,Eastside Catholic,Sammamish,WA,0.8106
Mykael Wright,Antelope Valley,Lancaster,CA,0.9783
Trent McDuffie,St. John Bosco,Bellflower,CA,0.9442
Kamren Fabiculanan,Westlake,Westlake Village,CA,0.8907
Shamar Martin,Morse,San Diego,CA,0.8863
Kyu Blu Kelly,Bishop Gorman,Las Vegas,NV,0.8668
Javin Wright,Hamilton,Chandler,AZ,0.8634
Daxton Hill,Booker T. Washington,Tulsa,OK,0.9927
Nick Cross,DeMatha Catholic,Hyattsville,MD,0.9727
Tyler Owens,Plano East,Plano,TX,0.9513
Chris Adimora,Mayfair,Lakewood,CA,0.9218
Kejuan Markham,Long Beach Poly,Long Beach,CA,0.8918
Cameron Williams,Bakersfield,Bakersfield,CA,0.8884
Anfernee Orji,Rockwall,Rockwall,TX,0.8837
William Nimmo,Mater Dei,Santa Ana,CA,0.8755
Carl Jones,Bakersfield,Bakersfield,CA,0.8477
Bru McCoy,Mater Dei,Santa Ana,CA,0.9944
Jordan Whittington,Cuero,Cuero,TX,0.9836
Casey Kline,Brawley,Brawley,CA,0.9023
Shae Suiaunoa,Clear Lake,Houston,TX,0.858
Kain Medrano,East,Pueblo,CO,0.8376
Kenyon Reed,Long Beach Poly,Long Beach,CA,0.8255
